word,emotion,emojis
filthy,disgust,False
financil hackers,disgust,False
fishy,disgust,False
fool,disgust,False
fooling,disgust,False
foolish,disgust,False
foolishly,disgust,False
fools,disgust,False
fraud,disgust,False
frauds,disgust,False
fraudulence,disgust,False
fraudulent,disgust,False
gag,disgust,False
gags,disgust,False
gamblers,disgust,False
gaming ecosystem,disgust,False
gaming the system,disgust,False
garbage,disgust,False
godforsaken,disgust,False
grossly,disgust,False
hater,disgust,False
haters,disgust,False
herd,disgust,False
hoax,disgust,False
hoe,disgust,False
hoes,disgust,False
hog,disgust,False
hogs,disgust,False
hypers,disgust,False
idiot,disgust,False
idiotic,disgust,False
idiots,disgust,False
illegal,disgust,False
illegally,disgust,False
illegitimate,disgust,False
illegitimates,disgust,False
imbecile,disgust,False
imbeciles,disgust,False
imposter,disgust,False
imposters,disgust,False
impostor,disgust,False
impostors,disgust,False
incompetent,disgust,False
ironic,disgust,False
jail,disgust,False
jerk,disgust,False
judgmental,disgust,False
junk,disgust,False
killers,disgust,False
laggard,disgust,False
lame,disgust,False
laugh my ass,disgust,False
liar,disgust,False
liars,disgust,False
lie,disgust,False
lied,disgust,False
lies,disgust,False
lizard,disgust,False
lmao,disgust,False
lmfao,disgust,False
loathe,disgust,False
loathes,disgust,False
loathing,disgust,False
loathly,disgust,False
loathsome,disgust,False
loser,disgust,False
losers,disgust,False
lousy,disgust,False
lying,disgust,False
mafia,disgust,False
maggot,disgust,False
maggots,disgust,False
manipulator,disgust,False
manipulators,disgust,False
masses,disgust,False
mediocre,disgust,False
misleading,disgust,False
molest,disgust,False
molested,disgust,False
molests,disgust,False
monkeys,disgust,False
moron,disgust,False
moronic,disgust,False
morons,disgust,False
nasty,disgust,False
nauseate,disgust,False
nauseated,disgust,False
nauseates,disgust,False
newbies,disgust,False
noob,disgust,False
noobs,disgust,False
novice,disgust,False
pathetic,disgust,False
pervert,disgust,False
perverts,disgust,False
petty,disgust,False
phoney,disgust,False
phonies,disgust,False
phony,disgust,False
pig,disgust,False
piggy,disgust,False
pigs,disgust,False
piigs,disgust,False
pile,disgust,False
pitiable,disgust,False
pitiful,disgust,False
ponzi,disgust,False
poo,disgust,False
pretender,disgust,False
pretentious,disgust,False
prick,disgust,False
pricks,disgust,False
prison,disgust,False
puke,disgust,False
pukes,disgust,False
pumper,disgust,False
pumpers,disgust,False
pumptarded,disgust,False
punk,disgust,False
puppet,disgust,False
puppets,disgust,False
pussies,disgust,False
pussy,disgust,False
racist,disgust,False
racists,disgust,False
repelling,disgust,False
reprehensible,disgust,False
repugnant,disgust,False
repulsive,disgust,False
retard,disgust,False
retarded,disgust,False
retards,disgust,False
revolted,disgust,False
revolting,disgust,False
revulsion,disgust,False
riddance,disgust,False
rigged,disgust,False
roach,disgust,False
roaches,disgust,False
rookies,disgust,False
rotten,disgust,False
rubbish,disgust,False
scalper,disgust,False
scalpers,disgust,False
scam,disgust,False
scammed,disgust,False
scammer,disgust,False
scams,disgust,False
scandal,disgust,False
screw,disgust,False
screwed,disgust,False
screwing,disgust,False
screws,disgust,False
scum,disgust,False
scumbag,disgust,False
scumbags,disgust,False
scums,disgust,False
shady,disgust,False
shame on,disgust,False
shameful,disgust,False
sharks,disgust,False
sheep,disgust,False
sheepish,disgust,False
sheeplike,disgust,False
shortie,disgust,False
shorty,disgust,False
sicken,disgust,False
sickening,disgust,False
sickens,disgust,False
skanky,disgust,False
sketchy,disgust,False
slimy,disgust,False
slob,disgust,False
slobs,disgust,False
stink,disgust,False
stinks,disgust,False
stupidity,disgust,False
thievery,disgust,False
thirsty,disgust,False
thug,disgust,False
thugs,disgust,False
traitorous,disgust,False
trash,disgust,False
treasonable,disgust,False
treasonous,disgust,False
trickery,disgust,False
troll,disgust,False
trolling,disgust,False
trolls,disgust,False
tumor,disgust,False
tumors,disgust,False
turd,disgust,False
turds,disgust,False
uglier,disgust,False
uneducated,disgust,False
whine,disgust,False
whining,disgust,False
whore,disgust,False
whores,disgust,False
wicked,disgust,False
wretched,disgust,False
yack,disgust,False
yak,disgust,False
yuck,disgust,False
yucky,disgust,False
zombie,disgust,False
disgustface,disgust_emojis,True
evilface,disgust_emojis,True
facevomiting,disgust_emojis,True
lyingface,disgust_emojis,True
nauseatedface,disgust_emojis,True
pigface,disgust_emojis,True
pignose,disgust_emojis,True
toilet,disgust_emojis,True
wastebasket,disgust_emojis,True
actual value,fear,False
affright,fear,False
afraid,fear,False
agitate,fear,False
alarmed,fear,False
alarming,fear,False
alienated,fear,False
all out,fear,False
all to lose,fear,False
am out,fear,False
angst,fear,False
anxiety,fear,False
anxious,fear,False
anxiousness,fear,False
attack,fear,False
attacked,fear,False
avoid,fear,False
back fire,fear,False
back under soon,fear,False
backfire,fear,False
backfired,fear,False
backfires,fear,False
bad news,fear,False
bank run,fear,False
bashing,fear,False
battleground,fear,False
bear flag,fear,False
bear market,fear,False
bearish,fear,False
bloodbath,fear,False
bother,fear,False
botheration,fear,False
bothered,fear,False
bothers,fear,False
bubble,fear,False
bubbles,fear,False
buckle,fear,False
burning,fear,False
burning money,fear,False
burning through,fear,False
cannot go up,fear,False
capitulation,fear,False
careful,fear,False
carefully,fear,False
carefulness,fear,False
carelessness,fear,False
carnage,fear,False
cataclysm,fear,False
catastrophe,fear,False
caution,fear,False
cautions,fear,False
cautious,fear,False
cautiously,fear,False
cautiousness,fear,False
chaos,fear,False
chop,fear,False
choppy,fear,False
close out,fear,False
closed out,fear,False
collapse,fear,False
collapsed,fear,False
collapses,fear,False
collapsing,fear,False
collusion,fear,False
comes down,fear,False
concern,fear,False
concerned,fear,False
concerning,fear,False
concerns,fear,False
continue to fall,fear,False
continues to fall,fear,False
contraction,fear,False
contracts,fear,False
correction,fear,False
could be down,fear,False
covering,fear,False
crackdown,fear,False
crash,fear,False
crashed,fear,False
crashes,fear,False
crashing,fear,False
crashing,fear,False
crisis,fear,False
critical point,fear,False
crumble,fear,False
crumbled,fear,False
crumbles,fear,False
crunch,fear,False
crushes,fear,False
cutting,fear,False
danger,fear,False
dangerous,fear,False
decaying,fear,False
declines,fear,False
decreases,fear,False
defensive,fear,False
demise,fear,False
destroying value,fear,False
destruction,fear,False
dire,fear,False
direful,fear,False
discourage,fear,False
discouraged,fear,False
disquiet,fear,False
disquieted,fear,False
disquietude,fear,False
disrepeted,fear,False
disrupted,fear,False
distress,fear,False
distressed,fear,False
distresses,fear,False
distressful,fear,False
distressing,fear,False
distrubs,fear,False
disturb,fear,False
disturbed,fear,False
disturbing,fear,False
divergence,fear,False
does not hold,fear,False
doom,fear,False
doomed,fear,False
doomsday,fear,False
down so far,fear,False
down tomorrow,fear,False
downfall,fear,False
downhill,fear,False
downside,fear,False
downtrend,fear,False
downturn,fear,False
downward,fear,False
dropped,fear,False
dropping,fear,False
dump,fear,False
dumped,fear,False
dumping,fear,False
dumps,fear,False
end red,fear,False
endangerment,fear,False
face problem,fear,False
face problems,fear,False
fade out,fear,False
faded,fear,False
fades,fear,False
fading,fear,False
fall back,fear,False
falling,fear,False
falls,fear,False
fear,fear,False
fearful,fear,False
fearfulness,fear,False
fears,fear,False
fearsome,fear,False
flip flop,fear,False
fragile,fear,False
fragility,fear,False
